Time	Early	Early	Late	Late	Late	Late	Late	Late	Late	Late	Late	Late	Early	Early	Early	Early	Early	Early	Early
Bacteria|Firmicutes|Clostridia|Christensenellales|Christensenellaceae|NA	0.0010723039	0.0000000000	0.0000000000	0.0015866720	0.0000000000	0.0000000000	0.0008591065	0.0000000000	0.0003844380	0.0004026170	0.0005632216	0.0014150943	0.0002970003	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0006597757	0.0000000000
Bacteria|Firmicutes|Clostridia|Christensenellales|Christensenellaceae|NA|NA	0.0010723039	0.0000000000	0.0000000000	0.0015866720	0.0000000000	0.0000000000	0.0008591065	0.0000000000	0.0003844380	0.0004026170	0.0005632216	0.0014150943	0.0002970003	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0006597757	0.0000000000
Bacteria|Firmicutes|Clostridia|Clostridia_UCG-014	0.0000000000	0.0000000000	0.0008225375	0.0043633479	0.0000000000	0.0034403670	0.0027491409	0.0028357824	0.0029217284	0.0012078510	0.0006570919	0.0021226415	0.0000000000	0.0020032781	0.0008073197	0.0000000000	0.0004742708	0.0024191775	0.0019950125
Bacteria|Firmicutes|Clostridia|Clostridia_UCG-014|NA	0.0000000000	0.0000000000	0.0008225375	0.0043633479	0.0000000000	0.0034403670	0.0027491409	0.0028357824	0.0029217284	0.0012078510	0.0006570919	0.0021226415	0.0000000000	0.0020032781	0.0008073197	0.0000000000	0.0004742708	0.0024191775	0.0019950125
Bacteria|Firmicutes|Clostridia|Clostridia_UCG-014|NA|NA	0.0000000000	0.0000000000	0.0008225375	0.0043633479	0.0000000000	0.0034403670	0.0027491409	0.0028357824	0.0029217284	0.0012078510	0.0006570919	0.0021226415	0.0000000000	0.0020032781	0.0008073197	0.0000000000	0.0004742708	0.0024191775	0.0019950125
Bacteria|Firmicutes|Clostridia|Clostridia_UCG-014|NA|NA|NA	0.0000000000	0.0000000000	0.0008225375	0.0043633479	0.0000000000	0.0034403670	0.0027491409	0.0028357824	0.0029217284	0.0012078510	0.0006570919	0.0021226415	0.0000000000	0.0020032781	0.0008073197	0.0000000000	0.0004742708	0.0024191775	0.0019950125
Bacteria|Firmicutes|Clostridia|Clostridia_vadinBB60_group	0.0116421569	0.0019932230	0.0063746658	0.0019833399	0.0023828435	0.0017201835	0.0027491409	0.0051559680	0.0009226511	0.0031202818	0.0035670703	0.0023584906	0.0029106029	0.0034602076	0.0045748116	0.0013475071	0.0045055727	0.0026391027	0.0069825436
Bacteria|Firmicutes|Clostridia|Clostridia_vadinBB60_group|NA	0.0116421569	0.0019932230	0.0063746658	0.0019833399	0.0023828435	0.0017201835	0.0027491409	0.0051559680	0.0009226511	0.0031202818	0.0035670703	0.0023584906	0.0029106029	0.0034602076	0.0045748116	0.0013475071	0.0045055727	0.0026391027	0.0069825436
Bacteria|Firmicutes|Clostridia|Clostridia_vadinBB60_group|NA|NA	0.0116421569	0.0019932230	0.0063746658	0.0019833399	0.0023828435	0.0017201835	0.0027491409	0.0051559680	0.0009226511	0.0031202818	0.0035670703	0.0023584906	0.0029106029	0.0034602076	0.0045748116	0.0013475071	0.0045055727	0.0026391027	0.0069825436
Bacteria|Firmicutes|Clostridia|Clostridia_vadinBB60_group|NA|NA|NA	0.0116421569	0.0019932230	0.0063746658	0.0019833399	0.0023828435	0.0017201835	0.0027491409	0.0051559680	0.0009226511	0.0031202818	0.0035670703	0.0023584906	0.0029106029	0.0034602076	0.0045748116	0.0013475071	0.0045055727	0.0026391027	0.0069825436
Bacteria|Firmicutes|Clostridia|Clostridiales	0.019607843	0.000000000	0.001233806	0.003570012	0.001191422	0.001720183	0.003264605	0.000000000	0.001383977	0.003623553	0.001220314	0.001415094	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae	0.019607843	0.000000000	0.001233806	0.003570012	0.001191422	0.001720183	0.003264605	0.000000000	0.001383977	0.003623553	0.001220314	0.001415094	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Candidatus_Arthromitus	0.0000000000	0.0000000000	0.0000000000	0.0019833399	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0005032713	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
